"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Clark County, Nevada!!Estimate","Clark County, Nevada!!Margin of Error"
"Median value --","","","","","",""
"    Total:","178,600","±133","441,900","±1,285","170,400","±1,006"
"        Median value for units with a mortgage","196,600","±160","443,400","±1,435","172,300","±1,217"
"        Median value for units without a mortgage","149,800","±252","437,100","±3,325","164,000","±2,203"
