"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Clark County, Nevada!!Estimate","Clark County, Nevada!!Margin of Error"
"Total:","74,712,091","±353,420","1,499,879","±9,704","380,425","±3,618"
"    With a mortgage:","48,414,291","±232,246","1,116,026","±7,215","277,536","±3,247"
"        Less than $50,000","2,325,758","±20,482","18,962","±965","12,127","±762"
"        $50,000 to $99,999","6,554,905","±34,084","13,948","±696","39,325","±1,273"
"        $100,000 to $149,999","7,991,634","±38,891","26,075","±970","55,727","±1,560"
"        $150,000 to $199,999","7,777,011","±41,944","42,706","±1,180","58,153","±1,503"
"        $200,000 to $299,999","9,654,517","±52,137","153,528","±2,751","62,387","±1,772"
"        $300,000 to $499,999","8,563,582","±40,717","404,077","±3,774","38,082","±1,258"
"        $500,000 to $749,999","3,286,458","±17,520","241,645","±2,845","7,506","±592"
"        $750,000 to $999,999","1,191,394","±7,898","99,283","±1,670","2,191","±290"
"        $1,000,000 or more","1,069,032","±6,375","115,802","±1,639","2,038","±274"
"    Not mortgaged:","26,297,800","±123,969","383,853","±4,372","102,889","±2,004"
"        Less than $50,000","4,443,005","±21,605","26,361","±996","13,513","±692"
"        $50,000 to $99,999","4,906,597","±28,029","13,560","±615","15,943","±786"
"        $100,000 to $149,999","3,812,432","±20,564","9,205","±555","16,278","±824"
"        $150,000 to $199,999","3,467,352","±21,240","12,868","±689","16,257","±770"
"        $200,000 to $299,999","3,983,147","±22,672","42,753","±1,438","19,474","±796"
"        $300,000 to $499,999","3,259,414","±18,650","121,169","±2,225","14,336","±785"
"        $500,000 to $749,999","1,315,730","±8,175","80,776","±1,739","3,731","±348"
"        $750,000 to $999,999","508,656","±5,036","34,938","±1,049","1,312","±194"
"        $1,000,000 or more","601,467","±4,735","42,223","±1,372","2,045","±286"
