"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Clark County, Nevada!!Estimate","Clark County, Nevada!!Margin of Error"
"Median value --","","","","","",""
"    Total:","188,400","±184","508,800","±2,038","257,300","±1,859"
"        Median value for units with a mortgage","208,900","±238","517,200","±2,295","265,100","±1,919"
"        Median value for units without a mortgage","148,300","±252","483,600","±3,378","224,500","±3,222"
