"Label (Grouping)","United States!!Estimate","United States!!Margin of Error","Los Angeles County, California!!Estimate","Los Angeles County, California!!Margin of Error","Clark County, Nevada!!Estimate","Clark County, Nevada!!Margin of Error"
"Median value --","","","","","",""
"    Total:","229,800","±188","615,500","±1,605","285,100","±1,625"
"        Median value for units with a mortgage","251,700","±339","620,700","±2,206","291,300","±1,817"
"        Median value for units without a mortgage","187,200","±321","601,600","±3,202","266,300","±3,456"
